vx	vy	vz	score	numLines
-0.97518290	-0.22140080	-0.00001682	1980.18	222
-0.13030835	0.99146784	0.00335424	1414.80	194
0.85097435	0.52520467	0.00164768	1035.04	182

nLines	x1	y1	x2	y2	length
222
	246.05	4.33	250.03	4.98	4.03
	363.03	11.99	369.02	12.95	6.07
	449.01	3.53	514.79	18.50	67.47
	490.07	6.68	511.07	11.70	21.60
	360.69	14.67	368.98	16.85	8.57
	512.53	11.36	518.04	12.84	5.70
	30.01	13.21	38.09	15.41	8.38
	476.06	13.90	490.94	17.46	15.29
	261.96	15.11	268.91	16.21	7.04
	463.98	16.15	470.01	17.59	6.20
	530.94	16.20	559.13	23.66	29.15
	388.90	23.30	383.02	22.00	6.02
	503.98	20.37	514.95	22.87	11.25
	516.10	19.58	576.96	33.85	62.51
	560.57	23.34	570.00	24.88	9.56
	377.03	32.98	380.05	33.50	3.07
	533.99	29.69	548.01	33.93	14.65
	529.28	31.77	538.05	33.50	8.94
	393.98	35.52	399.96	36.86	6.13
	530.96	42.13	549.02	46.31	18.53
	576.92	36.32	592.04	38.81	15.32
	531.76	38.62	541.75	40.53	10.16
	406.01	44.23	412.23	45.70	6.40
	479.99	45.08	484.98	46.03	5.08
	594.89	51.26	588.88	50.16	6.11
	370.98	49.06	375.66	50.29	4.84
	600.01	60.06	575.07	54.89	25.47
	610.99	50.10	615.97	51.12	5.09
	566.02	53.55	573.45	55.53	7.69
	191.55	82.36	201.69	84.38	10.34
	435.91	58.68	440.00	59.47	4.16
	537.03	60.46	542.78	61.36	5.83
	4.13	63.48	7.81	64.20	3.75
	124.25	71.41	127.95	72.18	3.78
	128.97	69.65	137.93	72.14	9.29
	140.04	74.42	145.28	75.37	5.33
	209.97	77.36	225.03	79.87	15.26
	256.05	79.46	262.05	80.72	6.13
	459.00	78.80	473.91	82.21	15.29
	70.11	85.82	77.06	87.79	7.23
	637.00	82.98	641.11	83.80	4.19
	86.13	86.26	102.03	90.98	16.58
	534.08	86.38	545.99	88.47	12.10
	94.19	92.71	98.19	93.71	4.12
	150.07	93.86	156.92	95.34	7.01
	148.35	98.72	154.17	99.82	5.92
	457.75	106.04	464.03	107.61	6.48
	632.00	110.00	637.98	111.07	6.08
	639.55	112.47	648.98	115.07	9.77
	651.90	114.41	661.80	116.48	10.11
	117.28	114.36	120.93	115.18	3.74
	376.98	116.52	381.04	117.17	4.11
	129.11	119.13	133.89	120.30	4.92
	392.94	122.74	397.15	123.54	4.29
	496.99	127.02	501.06	127.71	4.13
	573.04	126.87	577.01	127.98	4.13
	124.02	129.63	128.98	131.07	5.16
	122.99	135.02	128.02	136.28	5.18
	264.05	135.13	260.03	133.98	4.18
	617.98	138.38	623.84	139.30	5.93
	179.97	144.04	186.76	145.33	6.91
	70.81	160.75	67.44	160.10	3.43
	84.29	147.01	89.24	148.06	5.06
	35.18	154.38	53.10	158.60	18.40
	637.64	155.39	646.09	156.72	8.56
	658.54	157.09	662.03	158.10	3.63
	95.92	159.18	103.93	161.13	8.24
	135.08	166.61	126.90	164.67	8.41
	222.05	162.29	226.01	163.09	4.03
	516.98	162.49	525.00	163.79	8.13
	497.07	171.59	490.91	170.51	6.25
	143.66	167.35	150.90	169.32	7.50
	521.98	169.88	517.02	168.98	5.04
	98.95	173.18	104.33	174.48	5.53
	85.82	173.52	94.07	175.87	8.58
	551.98	179.42	555.99	180.23	4.09
	98.78	182.29	106.91	183.63	8.24
	575.96	181.94	591.22	185.08	15.57
	220.03	183.43	226.98	184.82	7.09
