vx	vy	vz	score	numLines
-0.98511044	-0.17182770	-0.00571599	216.05	19
0.98728107	0.15895628	0.00299976	139.33	14
0.90605980	-0.42308696	-0.00728439	113.77	15

nLines	x1	y1	x2	y2	length
19
	4.00	6.48	20.00	9.02	16.19
	31.85	24.60	36.92	24.63	5.07
	92.02	27.11	101.96	27.71	9.96
	103.01	26.47	114.01	26.68	11.00
	28.00	26.72	37.98	26.99	9.98
	40.03	28.46	53.88	29.55	13.89
	77.02	32.78	114.02	32.23	37.00
	19.95	32.72	44.00	31.70	24.07
	4.01	34.90	16.99	33.71	13.03
	82.98	37.36	100.98	35.29	18.12
	74.20	39.42	77.99	39.12	3.80
	105.09	40.86	113.98	39.69	8.96
	44.05	45.07	39.08	45.69	5.01
	107.69	47.59	113.97	45.84	6.52
	4.02	60.88	44.91	52.81	41.68
	101.95	56.17	93.20	58.86	9.15
	56.97	57.73	61.98	56.71	5.11
	31.87	61.56	52.06	58.08	20.49
	82.95	65.92	90.99	62.94	8.58
14
	4.00	6.48	20.00	9.02	16.19
	92.02	27.11	101.96	27.71	9.96
	28.00	26.72	37.98	26.99	9.98
	40.03	28.46	53.88	29.55	13.89
	4.01	32.02	12.20	32.64	8.22
	64.93	34.50	81.98	36.47	17.17
	64.92	43.76	103.05	44.53	38.14
	44.14	54.89	51.91	54.65	7.77
	104.02	59.52	114.01	59.55	9.99
	75.79	64.30	63.01	64.86	12.80
	17.10	65.54	35.95	64.70	18.87
	3.87	66.59	9.97	65.94	6.14
	66.11	70.40	86.00	69.50	19.91
	94.73	74.66	101.16	74.02	6.46
15
	55.15	12.74	92.90	3.52	38.86
	14.09	13.81	31.00	8.01	17.88
	55.97	15.59	63.06	13.39	7.42
	82.98	37.36	100.98	35.29	18.12
	21.01	39.26	36.02	37.01	15.18
	74.20	39.42	77.99	39.12	3.80
	105.09	40.86	113.98	39.69	8.96
	44.05	45.07	39.08	45.69	5.01
	67.13	49.21	71.00	48.91	3.88
	44.14	54.89	51.91	54.65	7.77
	104.02	59.52	114.01	59.55	9.99
	50.00	70.12	61.07	70.86	11.10
	23.95	70.83	28.70	71.32	4.78
	82.33	71.42	91.98	72.05	9.67
	103.97	73.99	109.84	74.41	5.89
