vx	vy	vz	score	numLines
0.89646486	-0.44307508	-0.00593443	386.59	32
0.89811264	0.43932057	0.01977671	268.29	29

nLines	x1	y1	x2	y2	length
32
	51.11	31.24	77.01	26.06	26.42
	115.90	31.71	124.00	29.92	8.30
	95.02	37.48	111.00	35.61	16.09
	44.11	37.13	27.94	40.77	16.57
	177.07	40.78	191.81	39.27	14.82
	131.99	39.06	137.03	38.75	5.04
	36.24	43.45	41.26	42.31	5.14
	194.03	45.33	204.89	44.33	10.91
	37.78	46.46	42.02	45.66	4.32
	186.95	57.10	198.98	56.37	12.06
	78.88	59.33	85.96	58.70	7.10
	208.02	60.08	222.04	59.17	14.05
	115.15	60.52	137.00	60.57	21.85
	96.02	62.32	107.08	61.27	11.11
	105.97	65.41	80.97	66.05	25.01
	218.01	63.04	232.99	61.95	15.02
	153.05	64.74	169.07	64.17	16.03
	191.02	97.05	157.99	95.78	33.05
	131.00	99.96	71.02	94.92	60.19
	141.01	76.15	146.01	76.08	5.00
	106.06	95.15	116.06	95.97	10.03
	141.01	100.89	144.96	101.22	3.96
	127.69	103.33	158.86	107.62	31.46
	87.98	105.50	101.94	107.32	14.08
	4.02	114.60	11.96	117.24	8.36
	20.06	119.91	30.79	122.42	11.02
	4.99	125.05	10.97	127.22	6.36
	18.93	125.15	26.97	127.80	8.47
	49.80	139.31	54.92	140.80	5.34
	55.01	145.10	47.19	142.86	8.13
	206.46	139.50	233.98	145.07	28.08
	93.98	151.11	103.95	154.39	10.50
29
	20.97	18.07	30.02	20.04	9.26
	76.28	30.68	83.01	32.51	6.98
	136.04	33.47	151.99	35.09	16.04
	112.01	35.59	128.00	38.02	16.18
	174.02	34.08	183.96	35.16	10.00
	158.01	37.83	175.98	40.15	18.12
	129.86	45.45	123.08	43.32	7.11
	164.98	42.65	195.04	48.37	30.60
	37.06	46.50	35.87	50.81	4.47
	223.94	45.12	234.00	46.97	10.23
	124.98	47.83	134.33	50.48	9.71
	205.00	47.87	226.94	50.18	22.06
	44.65	49.75	43.91	57.98	8.26
	34.94	51.99	29.37	65.40	14.52
	16.55	54.95	12.52	60.02	6.48
	211.96	55.68	216.98	56.63	5.11
	23.70	68.99	29.82	56.62	13.80
	46.99	57.03	47.43	64.48	7.46
	60.94	109.03	62.32	119.04	10.10
	86.95	58.63	89.90	61.44	4.08
	36.91	60.09	35.91	65.96	5.95
	11.26	60.87	4.85	67.71	9.38
	14.74	68.89	8.70	79.55	12.25
	33.03	63.98	23.19	100.08	37.42
	46.49	67.96	46.61	72.00	4.04
	158.92	68.38	163.99	70.24	5.41
	47.13	74.07	47.50	82.94	8.88
	37.09	86.07	35.78	92.96	7.01
	38.19	98.10	36.59	116.02	17.99
