vx	vy	vz	score	numLines
0.49754030	-0.86720717	-0.02013408	107.40	18
-0.99378979	0.11127205	0.00061889	78.60	12

nLines	x1	y1	x2	y2	length
18
	106.02	9.49	97.93	11.89	8.44
	32.08	8.63	26.99	11.45	5.82
	50.76	14.86	53.99	13.77	3.41
	15.97	14.56	7.13	20.48	10.64
	77.00	18.08	87.12	15.26	10.50
	59.91	17.09	64.42	15.68	4.73
	22.99	22.99	33.03	18.56	10.98
	11.87	27.28	17.02	25.43	5.48
	83.80	29.49	92.15	28.67	8.39
	13.08	30.86	16.01	30.04	3.05
	104.84	32.47	111.06	32.07	6.23
	60.98	50.47	70.98	51.34	10.04
	21.52	47.57	33.05	48.18	11.54
	47.96	63.97	51.00	65.01	3.21
	110.04	55.89	113.95	56.33	3.94
	106.60	60.22	109.80	60.53	3.22
	105.00	69.63	114.03	71.76	9.27
	49.97	72.03	55.27	74.02	5.66
12
	100.95	3.37	92.98	4.19	8.01
	20.00	9.38	4.01	11.08	16.08
	113.93	26.44	110.23	26.62	3.71
	83.80	29.49	92.15	28.67	8.39
	104.84	32.47	111.06	32.07	6.23
	25.06	44.86	38.01	43.90	12.99
	26.96	52.56	35.68	51.64	8.76
	35.36	58.99	29.11	59.50	6.27
	56.05	56.15	60.03	55.87	3.98
	58.13	60.74	61.78	60.62	3.65
	85.92	67.27	89.99	67.04	4.07
	56.99	74.00	68.05	73.31	11.08
